TimestampLocal,WP_SF_MVPS1.PM1,WP_SF_MVPS2.PM1,WP_SF_MVPS3.PM1,WP_SF_MVPS4.PM1,AVG in-plane irradiance,Ambient Temperature Celsius,Back-of-Module Temperature (deg C),Back-of-Module Temperature 2 (deg C),Irradiance Global (W/m^2),Irradiance Plane-of-Array (W/m^2),Rainfall (mm),Weather Atmospheric Pressure,Weather Relative Humidity,Wind Direction (Hour Interval),Wind Speed
2020-09-08 14:45:00,567.482482910156,1659.58825683594,1188.77380371094,60.575042724609396,593.0,12.6,13.5,15.3,423.0,593.0,111.8,1009.0,79.0,132.0,8.0
2020-09-08 03:00:00,0.0,0.0,0.0,0.0,0.0,10.4,9.4,8.7,0.0,0.0,110.8,1008.0,89.0,125.0,6.0
2020-09-08 15:00:00,1776.57824707031,1592.80871582031,1526.0344238281302,130.771469116211,1293.0,12.7,14.9,18.4,636.0,1293.0,111.8,1009.0,81.0,130.0,4.0
2020-09-08 03:15:00,0.0,0.0,0.0,0.0,0.0,10.4,9.4,8.7,0.0,0.0,110.8,1008.0,89.0,122.0,4.0
2020-09-08 15:15:00,1766.08251953125,1815.3134765625,1753.3955078125,130.06668090820298,1686.0,12.9,15.7,19.8,842.0,1686.0,111.8,1009.0,79.0,135.0,5.0
2020-09-08 03:30:00,0.0,0.0,0.0,0.0,0.0,10.4,9.3,8.6,0.0,0.0,110.8,1008.0,89.0,117.0,4.0
2020-09-08 15:30:00,1756.60192871094,1668.59289550781,1718.1315917968802,122.899703979492,1693.0,12.6,15.0,18.7,779.0,1693.0,111.8,1009.0,81.0,123.0,6.0
2020-09-08 03:45:00,0.0,0.0,0.0,0.0,0.0,10.2,9.1,8.3,0.0,0.0,110.8,1008.0,91.0,138.0,4.0
2020-09-08 15:45:00,242.396514892578,714.3822631835941,529.806335449219,19.2496566772461,329.0,12.5,14.2,17.1,182.0,329.0,111.8,1009.0,81.0,115.0,6.0
2020-09-08 04:00:00,0.0,0.0,0.0,0.0,0.0,10.4,9.3,8.6,0.0,0.0,110.8,1008.0,90.0,121.0,4.0
2020-09-08 16:00:00,637.8321533203131,514.440490722656,335.844085693359,73.304328918457,431.0,12.1,12.8,14.0,261.0,431.0,111.8,1009.0,83.0,143.0,7.0
2020-09-08 04:15:00,0.0,0.0,0.0,0.0,0.0,10.4,9.5,9.0,0.0,0.0,110.8,1008.0,89.0,109.0,5.0
2020-09-08 16:15:00,291.050537109375,344.43264770507795,277.041870117188,29.5965595245361,342.0,11.9,13.3,15.5,196.0,342.0,111.8,1009.0,84.0,116.0,7.0
2020-09-08 04:30:00,0.0,0.0,0.0,0.0,0.0,10.6,9.7,9.2,0.0,0.0,110.8,1008.0,89.0,110.0,5.0
2020-09-08 16:30:00,963.5108032226559,1191.22033691406,1041.92846679688,52.0233764648438,1160.0,11.9,13.4,16.1,367.0,1160.0,111.8,1009.0,84.0,127.0,6.0
2020-09-08 04:45:00,0.0,0.0,0.0,0.0,0.0,10.6,9.6,9.2,0.0,0.0,110.8,1008.0,89.0,113.0,5.0
